ticker,company,sector,sub_industry,scope1_tco2e,ghg_facility_count,cogs_usd,energy_cost_usd
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,,,3368000000.0,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",,,214137000000.0,
ABBV,AbbVie,Health Care,Biotechnology,99777.8,2.0,20415000000.0,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,1703000000.0,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,134386.9,4.0,17975000000.0,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,,,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,,,43380138000.0,
ADBE,Adobe Inc.,Information Technology,Application Software,,,2354000000.0,
ADI,Analog Devices,Information Technology,Semiconductors,117771.6,3.0,4428321000.0,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,10585367.6,18.0,86422000000.0,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,,,9953400000.0,
ADSK,Autodesk,Information Technology,Application Software,,,511000000.0,
AEE,Ameren,Utilities,Multi-Utilities,19790344.7,15.0,,
AEP,American Electric Power,Utilities,Electric Utilities,48971842.6,26.0,,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,15564932.7,11.0,10164000000.0,
AFL,Aflac,Financials,Life & Health Insurance,,,,
AIG,American International Group,Financials,Multi-line Insurance,,,,
AIZ,Assurant,Financials,Multi-line Insurance,,,,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,,,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,,,1511063000.0,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,229671.7,3.0,8431294000.0,
ALGN,Align Technology,Health Care,Health Care Supplies,,,1155397000.0,
ALL,Allstate,Financials,Property & Casualty Insurance,,,,
ALLE,Allegion,Industrials,Building Products,,,2069300000.0,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,,,14133000000.0,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,,,11969000000.0,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,,,12220000000.0,
AME,Ametek,Industrials,Electrical Components & Equipment,,,4212485000.0,
AMGN,Amgen,Health Care,Biotechnology,61780.4,1.0,8451000000.0,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,,,
AMT,American Tower,Real Estate,Telecom Tower REITs,,,,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,,,304739000000.0,
ANET,Arista Networks,Information Technology,Communications Equipment,,,2229900000.0,
AON,Aon plc,Financials,Insurance Brokers,,,,
AOS,A. O. Smith,Industrials,Building Products,,,2368000000.0,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,304822.8,14.0,,
APD,Air Products,Materials,Industrial Gases,,,8833000000.0,
APH,Amphenol,Information Technology,Electronic Components,,,8470600000.0,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,,,,
APP,AppLovin,Communication Services,Advertising,,,356613000.0,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,,,16612000000.0,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,,,,
ARES,Ares Management,Financials,Asset Management & Custody Banks,1454174.1,1.0,,
ATO,Atmos Energy,Utilities,Gas Utilities,737121.0,12.0,1452173000.0,
AVGO,Broadcom,Information Technology,Semiconductors,34457.1,1.0,11129000000.0,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,,,6086800000.0,
AWK,American Water Works,Utilities,Water Utilities,,,,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,,,605246000.0,
AXP,American Express,Financials,Consumer Finance,,,,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,,,8386787000.0,
BA,Boeing,Industrials,Aerospace & Defense,151144.8,4.0,70070000000.0,
BAC,Bank of America,Financials,Diversified Banks,,,,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",,,,
BAX,Baxter International,Health Care,Health Care Equipment,43203.8,1.0,6210000000.0,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,,,33849000000.0,
BDX,Becton Dickinson,Health Care,Health Care Equipment,,,11202000000.0,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,,,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,90072.8,2.0,1652000000.0,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,,,54695000000.0,
BIIB,Biogen,Health Care,Biotechnology,28268.2,1.0,2533400000.0,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,
